thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,trial.started,fondo.started,cam_light.started,cam_travel_time.started,cam_cost.started,cam_dens.started,cam_sec.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,1,0.4565868005156517,None,0,0,0,0,0.09106239955872297,,0.07835379987955093,0.09106239955872297,0.09106239955872297,0.09106239955872297,0.09106239955872297,0.09106239955872297,0.09106239955872297,0.09106239955872297,0.5564163997769356,1,0.4565868005156517,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
1,0,1,2,0.7873691003769636,None,1,0,1,0,0.5702003994956613,,0.5571880992501974,0.5702003994956613,0.5702003994956613,0.5702003994956613,0.5702003994956613,0.5702003994956613,0.5702003994956613,0.5702003994956613,1.3619762994349003,2,0.7873691003769636,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
2,0,2,3,0.44522309955209494,None,2,0,2,0,1.374320199713111,,1.3627025997266173,1.374320199713111,1.374320199713111,1.374320199713111,1.374320199713111,1.374320199713111,1.374320199713111,1.374320199713111,1.8244624994695187,3,0.44522309955209494,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
3,0,3,3,0.26274900045245886,None,3,0,3,0,1.8367886999621987,,1.8252256996929646,1.8367886999621987,1.8367886999621987,1.8367886999621987,1.8367886999621987,1.8367886999621987,1.8367886999621987,1.8367886999621987,2.1035925997421145,3,0.26274900045245886,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
4,0,4,3,0.16757440008223057,None,4,0,4,0,2.1159571995958686,,2.1043377993628383,2.1159571995958686,2.1159571995958686,2.1159571995958686,2.1159571995958686,2.1159571995958686,2.1159571995958686,2.1159571995958686,2.2910919999703765,3,0.16757440008223057,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
5,0,5,2,0.3341226000338793,None,5,0,5,0,2.3034278992563486,,2.2918008994311094,2.3034278992563486,2.3034278992563486,2.3034278992563486,2.3034278992563486,2.3034278992563486,2.3034278992563486,2.3034278992563486,2.645282399840653,2,0.3341226000338793,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
6,0,6,2,0.18607970047742128,None,6,0,6,0,2.6575812995433807,,2.646019099280238,2.6575812995433807,2.6575812995433807,2.6575812995433807,2.6575812995433807,2.6575812995433807,2.6575812995433807,2.6575812995433807,2.8457095995545387,2,0.18607970047742128,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
7,0,7,3,0.2616175999864936,None,7,0,7,0,2.861899799667299,,2.8464741995558143,2.861899799667299,2.861899799667299,2.861899799667299,2.861899799667299,2.861899799667299,2.861899799667299,2.861899799667299,3.124557899311185,3,0.2616175999864936,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
8,0,8,1,0.13874869979918003,None,8,0,8,0,3.1368864998221397,,3.125275899656117,3.1368864998221397,3.1368864998221397,3.1368864998221397,3.1368864998221397,3.1368864998221397,3.1368864998221397,3.1368864998221397,3.2870994992554188,1,0.13874869979918003,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
9,0,9,2,0.12816799990832806,None,9,0,9,0,3.2993713999167085,,3.2878210991621017,3.2993713999167085,3.2993713999167085,3.2993713999167085,3.2993713999167085,3.2993713999167085,3.2993713999167085,3.2993713999167085,3.4370952993631363,2,0.12816799990832806,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
10,0,10,3,0.06103399954736233,None,10,0,10,0,3.449376699514687,,3.437824599444866,3.449376699514687,3.449376699514687,3.449376699514687,3.449376699514687,3.449376699514687,3.449376699514687,3.449376699514687,3.512362699955702,3,0.06103399954736233,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
11,0,11,1,0.13529060035943985,None,11,0,11,0,3.524366299621761,,3.513087200000882,3.524366299621761,3.524366299621761,3.524366299621761,3.524366299621761,3.524366299621761,3.524366299621761,3.524366299621761,3.6620913995429873,1,0.13529060035943985,None,109686,001,2025-11-10_01h03.31.541,v3,,2025.1.1,240.0631862296159,2025-11-10 01h03.33.635238 -0300,
