block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_inicio_viaje.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_inicio_viaje_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_inicio_viaje_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,respuesta.started,trial.stopped,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,5.954160200024489,None,0,0,0,0,0.216505699994741,,0.19685239999671467,0.216505699994741,0.21667699998943135,0.31505430000834167,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,0.3906589999969583,6.466313200013246,2,5.954160200024489,None,,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,3,0.4308974000159651,None,0,1,1,1,6.4690192000125535,,6.466607400012435,6.4690192000125535,6.6533318999863695,6.673344500013627,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,6.720670599985169,7.15542729999288,3,0.4308974000159651,None,6.720670599985169,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,1,1.0876599000184797,None,0,2,2,2,7.157539500010898,,7.155682200012961,7.157539500010898,7.353443100000732,7.3586482999962755,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,7.407522900000913,8.52239830000326,1,1.0876599000184797,None,7.407522900000913,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,2,0.564417699992191,None,0,3,3,3,8.524443400005111,,8.5226740000071,8.524443400005111,8.719920700008515,8.724455099989427,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,8.762881500006188,9.342903200013097,2,0.564417699992191,None,8.762881500006188,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,3,0.2552260000084061,None,0,4,4,4,9.34497979999287,,9.343166800012114,9.34497979999287,9.536549999989802,9.541839799989248,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.583413899992593,9.85461189999478,3,0.2552260000084061,None,9.583413899992593,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,3,0.351029399986146,None,0,5,5,5,9.856654800008982,,9.854858800012153,9.856654800008982,10.053197000001092,10.058004899998195,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.10422949999338,10.490853900002548,3,0.351029399986146,None,10.10422949999338,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,2,0.306139099993743,None,0,6,6,6,10.493114999990212,,10.491127199988114,10.493114999990212,10.68640909998794,10.691094000008889,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,10.740695799991954,11.059518599999137,2,0.306139099993743,None,10.740695799991954,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,8,9,7800,24,0,5,0,300,690,18,0,2,3,0,30,1,1,0,7,7,0,2,0.25754130000132136,None,0,7,7,7,11.063532700005453,,11.059764600009657,11.063532700005453,11.253226800006814,11.257492100005038,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.285875300003681,11.577671700011706,2,0.25754130000132136,None,11.285875300003681,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,9,9,2300,32,0,5,0,300,1030,48,0,3,0,-1,60,2,1,-1,8,8,0,1,0.21406200001365505,None,0,8,8,8,11.579747499985388,,11.577942800009623,11.579747499985388,11.771679600002244,11.777542600000743,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,11.82543359999545,12.072994899994228,1,0.21406200001365505,None,11.82543359999545,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
1,10,15,7800,13,1,4,0,100,870,18,1,1,0,-1,30,1,0,-1,9,9,0,2,0.6476009000034537,None,0,9,9,9,12.075092499988386,,12.073264100006782,12.075092499988386,12.26979309998569,12.274845200008713,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.324063899985049,12.981256800005212,2,0.6476009000034537,None,12.324063899985049,156986,001,2025-11-10_11h25.15.751,v4-funcionando,,2025.1.1,60.569461974309405,2025-11-10 11h25.32.477409 -0300,
