block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,cam_cost_text.started,cam_travel_time_text.started,cam_dens_text.started,cam_light_text.started,cam_sec_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_dens_text.started,metro_inf_text.started,metro_guards_text.started,metro_users_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_stars_text.started,uber_gender_text.started,uber_travels_text.started,uber_record_text.started,hora_inicio_viaje_roi.started,respuesta.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,a,19.733543900001678,None,0,0,0,0,0.02362780000839848,,0.018747800000710413,0.02362780000839848,0.018403399997623637,0.2132733000034932,0.2849564000061946,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,0.3204629000101704,20.130748399998993,0,,,a,19.733543900001678,None,,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,b,0.4062470999924699,None,0,1,1,1,20.133729599998333,,20.130934600005276,20.133729599998333,0.00015119998715817928,20.329724800001713,20.345772300002864,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.37430630000017,20.790992800000822,0,,,b,0.4062470999924699,None,20.37430630000017,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,b,0.9101434999902267,None,0,2,2,2,20.793200500003877,,20.79114670000854,20.793200500003877,0.0001351000100839883,20.979681900003925,20.9872197000077,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.0123339999991,21.93470480000542,0,,,b,0.9101434999902267,None,21.0123339999991,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,b,0.723418399997172,None,0,3,3,3,21.937038000003668,,21.934855700004846,21.937038000003668,0.00013159999798517674,22.12941380000848,22.13259670000116,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.155718699999852,22.88488060000236,0,,,b,0.723418399997172,None,22.155718699999852,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,a,0.7157670999877155,None,0,4,4,4,22.887059100001352,,22.885033400001703,22.887059100001352,0.00013380000018514693,23.07955249999941,23.082872700004373,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.105821999997715,23.832033700004104,0,,,a,0.7157670999877155,None,23.105821999997715,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,0,,,a,205.29195499999332,None,0,5,5,5,23.834591700011515,,23.83218680000573,23.834591700011515,0.00013380000018514693,24.02954899999895,24.032965000005788,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,24.05646639999759,229.3655168999976,0,,,a,205.29195499999332,None,24.05646639999759,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,7,Noche (19:00-23:00),5500,32,Masculino,4.0,Viaje Grabado,100,1030,18,Más pax. hombres,0,2,Alta,90,None,1,Media,6,6,0,0,,,a,0.31688909999502357,None,0,6,6,6,229.3678862000088,,229.36569010000676,229.3678862000088,0.00014640000881627202,229.55630330000713,229.55986490000214,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.5836532000103,229.90272740001092,0,,,a,0.31688909999502357,None,229.5836532000103,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,8,Mañana (6:00-12:00),7800,24,Masculino,5.0,Sin camaras,300,690,18,None,2,3,Media,30,Camaras via publica,1,Media,7,7,0,0,,,a,1.4526112000021385,None,0,7,7,7,229.905276400008,,229.90288110000256,229.905276400008,0.00013549999857787043,230.08957140000712,230.09274130000267,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,230.1163949000038,231.58762560000469,0,,,a,1.4526112000021385,None,230.1163949000038,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,9,Mañana (6:00-12:00),2300,32,Masculino,5.0,Sin camaras,300,1030,48,None,3,0,Baja,60,Presencia policial,1,Baja,8,8,0,0,,,a,1.3083473000006052,None,0,8,8,8,231.58990990000893,,231.58777890000783,231.58990990000893,0.00013329999637790024,231.77298180000798,231.77610540000023,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,231.80041809999966,233.11089640000137,0,,,a,1.3083473000006052,None,231.80041809999966,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
1,10,Tarde (15:00-19:00),7800,13,Femenino,4.0,Sin camaras,100,870,18,Más pax. mujeres,1,0,Baja,30,Camaras via publica,0,Baja,9,9,0,0,,,a,0.3351489000051515,None,0,9,9,9,233.11361830000533,,233.1110711000074,233.11361830000533,0.00015119998715817928,233.3059523999982,233.30944440000167,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.33453920000466,233.67445950000547,0,,,a,0.3351489000051515,None,233.33453920000466,,,,249146,001,2025-11-11_18h13.18.275,v5-eye,,2025.1.1,60.0196504329549,2025-11-11 18h13.52.812365 -0300,
