block,pid,task,hora,uber_travel_time,uber_cost,uber_driver_gender,uber_record,uber_stars,uber_travels,metro_travel_time,metro_cost,metro_users,metro_camaras,metro_guardias,metro_tech,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,metro_camaras_roi.numLooks,metro_camaras_roi.timesOn,metro_camaras_roi.timesOff,metro_guardias_roi.numLooks,metro_guardias_roi.timesOn,metro_guardias_roi.timesOff,metro_tech_roi.numLooks,metro_tech_roi.timesOn,metro_tech_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_driver_gender_roi.numLooks,uber_driver_gender_roi.timesOn,uber_driver_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_travels_roi.numLooks,uber_travels_roi.timesOn,uber_travels_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_users_text.started,metro_camaras_text.started,metro_guardias_text.started,metro_tech_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_driver_gender_text.started,uber_record_text.started,uber_stars_text.started,uber_travels_text.started,hora_inicio_viaje_roi.started,metro_cost_roi.started,metro_travel_time_roi.started,metro_users_roi.started,metro_camaras_roi.started,metro_guardias_roi.started,metro_tech_roi.started,uber_cost_roi.started,uber_travel_time_roi.started,uber_driver_gender_roi.started,uber_record_roi.started,uber_stars_roi.started,uber_travels_roi.started,respuesta.started,mouse.started,etRecord.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.metro_camaras_roi.numLooks,task.metro_camaras_roi.timesOn,task.metro_camaras_roi.timesOff,task.metro_guardias_roi.numLooks,task.metro_guardias_roi.timesOn,task.metro_guardias_roi.timesOff,task.metro_tech_roi.numLooks,task.metro_tech_roi.timesOn,task.metro_tech_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_driver_gender_roi.numLooks,task.uber_driver_gender_roi.timesOn,task.uber_driver_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_travels_roi.numLooks,task.uber_travels_roi.timesOn,task.uber_travels_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,task.mouse.x,task.mouse.y,task.mouse.leftButton,task.mouse.midButton,task.mouse.rightButton,task.mouse.time,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,2,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,47.58477980000316,None,[],[],[],[],[],[],0,0,0,0,0.016643799986923113,,0.013508199976058677,0.016643799986923113,0.21422959998017177,0.27284920000238344,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.3037363999756053,0.07255389998317696,0.07255389998317696,47.89648609998403,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,47.58477980000316,None,[],[],[],[],[],[],,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,3.2490838000085205,None,[np.float64(0.7992857142857143)],[np.float64(-0.4992857142857143)],[1],[0],[0],[1.8327226999972481],0,1,1,1,47.89874919998692,,47.896845199982636,47.89874919998692,48.09630330000073,48.11148159997538,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,48.13490129998536,0.014857199974358082,0.014857199974358082,51.38661789998878,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,3.2490838000085205,None,[np.float64(0.7992857142857143)],[np.float64(-0.4992857142857143)],[1],[0],[0],[1.8327226999972481],48.13490129998536,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.4112768000049982,None,[],[],[],[],[],[],0,2,2,2,51.388701199990464,,51.38700029999018,51.388701199990464,51.579335799993714,51.60806469997624,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,51.63422469998477,0.021281199995428324,0.021281199995428324,52.04686609999044,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.4112768000049982,None,[],[],[],[],[],[],51.63422469998477,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.2913209999969695,None,[],[],[],[],[],[],0,3,3,3,52.048953699995764,,52.047203800000716,52.048953699995764,52.24612460000208,52.25102289998904,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,52.27700000000186,0.004027399991173297,0.004027399991173297,52.58231099997647,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.2913209999969695,None,[],[],[],[],[],[],52.27700000000186,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.2379120999830775,None,[],[],[],[],[],[],0,4,4,4,52.58431259999634,,52.582638799998676,52.58431259999634,52.77941550000105,52.783318699977826,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,52.80563479999546,0.000883800006704405,0.000883800006704405,53.05818949997774,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.2379120999830775,None,[],[],[],[],[],[],52.80563479999546,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.9523439999902621,None,[],[],[],[],[],[],0,5,5,5,53.06046159999096,,53.058649799990235,53.06046159999096,53.246066699997755,53.248522599984426,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,53.26982570000109,0.011684099998092279,0.011684099998092279,54.23549859999912,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.9523439999902621,None,[],[],[],[],[],[],53.26982570000109,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,2.014337100001285,None,[],[],[],[],[],[],0,6,6,6,54.23750079999445,,54.235836499981815,54.23750079999445,54.42923409998184,54.43178909999551,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,54.45377649998409,0.018378799984930083,0.018378799984930083,56.47058709998964,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,2.014337100001285,None,[],[],[],[],[],[],54.45377649998409,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,2,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.6690038000233471,None,[],[],[],[],[],[],0,7,7,7,56.47268739997526,,56.47092589997919,56.47268739997526,56.66270989997429,56.6652497999894,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,56.68671529999119,0.016221199970459566,0.016221199970459566,57.35776319997967,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.6690038000233471,None,[],[],[],[],[],[],56.68671529999119,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,4,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.0875953000213485,None,[],[],[],[],[],[],0,8,8,8,57.359801599988714,,57.358113199996296,57.359801599988714,57.5459189999965,57.549465999996755,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,57.5709605999873,0.013290400005644187,0.013290400005644187,58.6741548999853,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.0875953000213485,None,[],[],[],[],[],[],57.5709605999873,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
1,4,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.1205095000041183,None,[],[],[],[],[],[],0,9,9,9,58.6762052999984,,58.674484599992866,58.6762052999984,58.86255049999454,58.86513789999299,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,58.887840699986555,0.013782399997580796,0.013782399997580796,60.01490529999137,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.1205095000041183,None,[],[],[],[],[],[],58.887840699986555,,,,326847,001,2025-11-21_18h05.24.354,v6-eye,,2025.1.1,59.97123779177414,2025-11-21 18h05.30.905318 -0300,
