block,pid,task,hora,uber_travel_time,uber_cost,uber_driver_gender,uber_record,uber_stars,uber_travels,metro_travel_time,metro_cost,metro_users,metro_camaras,metro_guardias,metro_tech,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,metro_camaras_roi.numLooks,metro_camaras_roi.timesOn,metro_camaras_roi.timesOff,metro_guardias_roi.numLooks,metro_guardias_roi.timesOn,metro_guardias_roi.timesOff,metro_tech_roi.numLooks,metro_tech_roi.timesOn,metro_tech_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_driver_gender_roi.numLooks,uber_driver_gender_roi.timesOn,uber_driver_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_travels_roi.numLooks,uber_travels_roi.timesOn,uber_travels_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_users_text.started,metro_camaras_text.started,metro_guardias_text.started,metro_tech_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_driver_gender_text.started,uber_record_text.started,uber_stars_text.started,uber_travels_text.started,hora_inicio_viaje_roi.started,metro_cost_roi.started,metro_travel_time_roi.started,metro_users_roi.started,metro_camaras_roi.started,metro_guardias_roi.started,metro_tech_roi.started,uber_cost_roi.started,uber_travel_time_roi.started,uber_driver_gender_roi.started,uber_record_roi.started,uber_stars_roi.started,uber_travels_roi.started,respuesta.started,mouse.started,etRecord.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.metro_camaras_roi.numLooks,task.metro_camaras_roi.timesOn,task.metro_camaras_roi.timesOff,task.metro_guardias_roi.numLooks,task.metro_guardias_roi.timesOn,task.metro_guardias_roi.timesOff,task.metro_tech_roi.numLooks,task.metro_tech_roi.timesOn,task.metro_tech_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_driver_gender_roi.numLooks,task.uber_driver_gender_roi.timesOn,task.uber_driver_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_travels_roi.numLooks,task.uber_travels_roi.timesOn,task.uber_travels_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,task.mouse.x,task.mouse.y,task.mouse.leftButton,task.mouse.midButton,task.mouse.rightButton,task.mouse.time,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,2,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,5.59454740000001,None,[np.float64(0.9989583333333333)],[np.float64(-0.09444444444444444)],[1],[0],[0],[5.32756449999988],0,0,0,0,0.01852239999993799,,0.008644600000025093,0.01852239999993799,0.20269540000003872,0.2612165000000459,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.29762460000006286,0.060927700000092955,0.060927700000092955,5.900900999999976,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,5.59454740000001,None,[np.float64(0.9989583333333333)],[np.float64(-0.09444444444444444)],[1],[0],[0],[5.32756449999988],,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,3.0199468999999226,None,[],[],[],[],[],[],0,1,1,1,5.912510399999974,,5.901295899999923,5.912510399999974,6.111102600000095,6.1214804000001095,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,6.146839100000079,0.020387499999969805,0.020387499999969805,9.180608500000062,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,3.0199468999999226,None,[],[],[],[],[],[],,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.22746219999999084,None,[],[],[],[],[],[],0,2,2,2,9.191336600000113,,9.180924400000094,9.191336600000113,9.375063500000124,9.397322999999915,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,9.423406699999987,0.016601999999920736,0.016601999999920736,9.654320000000098,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.22746219999999084,None,[],[],[],[],[],[],9.423406699999987,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,16.31829289999996,None,[],[],[],[],[],[],0,3,3,3,9.658943700000009,,9.654711700000007,9.658943700000009,9.842479800000092,9.847055599999976,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,9.872211200000038,0.019045600000026752,0.019045600000026752,26.1944618,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,16.31829289999996,None,[],[],[],[],[],[],9.872211200000038,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,9.607484999999997,None,[],[],[],[],[],[],0,4,4,4,26.206258700000035,,26.194831499999964,26.206258700000035,26.391758700000082,26.39705670000012,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,26.419300199999952,0.0024422000001322886,0.0024422000001322886,36.045671300000095,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,9.607484999999997,None,[],[],[],[],[],[],26.419300199999952,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.017844400000058158,None,[],[],[],[],[],[],0,5,5,5,36.06183839999994,,36.046026900000015,36.06183839999994,36.245946199999935,36.25051409999992,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,36.281828399999995,0.004709799999773168,0.004709799999773168,36.3051974,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.017844400000058158,None,[],[],[],[],[],[],,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,None,None,[],[],[],[],[],[],0,6,6,6,36.31234020000011,,36.30554150000012,36.31234020000011,36.49617340000009,36.49856419999992,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,36.5312871000001,0.026775799999995797,0.026775799999995797,36.62018669999998,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,None,None,[],[],[],[],[],[],36.5312871000001,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,2,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.04865930000005392,None,[],[],[],[],[],[],0,7,7,7,36.62894989999995,,36.6207151000001,36.62894989999995,36.8128236,36.81532190000007,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,36.84142859999997,0.02181879999989178,0.02181879999989178,36.89270510000006,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.04865930000005392,None,[],[],[],[],[],[],36.84142859999997,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,4,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,4.860025299999961,None,[np.float64(0.4625)],[np.float64(0.11296296296296296)],[1],[0],[0],[4.460727599999927],0,8,8,8,36.911129800000026,,36.89303689999997,36.911129800000026,37.09516000000008,37.09881080000014,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,37.12826629999995,0.005978199999844946,0.005978199999844946,41.99876440000003,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,4.860025299999961,None,[np.float64(0.4625)],[np.float64(0.11296296296296296)],[1],[0],[0],[4.460727599999927],,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
1,4,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.14511339999990014,None,[],[],[],[],[],[],0,9,9,9,42.00616100000002,,41.9991715000001,42.00616100000002,42.19022640000003,42.192546199999924,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,42.21565480000004,0.017597900000055233,0.017597900000055233,42.365590899999916,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.14511339999990014,None,[],[],[],[],[],[],42.21565480000004,331477,001,2025-11-24_18h28.03.280,v7,,2025.1.1,60.757770918949646,2025-11-24 18h28.08.480788 -0300,
