block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,cam_inicio_viaje_roi.numLooks,cam_inicio_viaje_roi.timesOn,cam_inicio_viaje_roi.timesOff,cam_travel_time_roi.numLooks,cam_travel_time_roi.timesOn,cam_travel_time_roi.timesOff,cam_cost_roi.numLooks,cam_cost_roi.timesOn,cam_cost_roi.timesOff,cam_dens_roi.numLooks,cam_dens_roi.timesOn,cam_dens_roi.timesOff,cam_sec_roi.numLooks,cam_sec_roi.timesOn,cam_sec_roi.timesOff,metro_inicio_viaje_roi.numLooks,metro_inicio_viaje_roi.timesOn,metro_inicio_viaje_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_dens_roi.numLooks,metro_dens_roi.timesOn,metro_dens_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,uber_inicio_viaje_roi.numLooks,uber_inicio_viaje_roi.timesOn,uber_inicio_viaje_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_gender_roi.numLooks,uber_gender_roi.timesOn,uber_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,cam_inicio_viaje_roi.started,cam_travel_time_roi.started,cam_cost_roi.started,cam_dens_roi.started,cam_sec_roi.started,metro_inicio_viaje_roi.started,metro_travel_time_roi.started,metro_cost_roi.started,metro_dens_roi.started,metro_users_roi.started,uber_inicio_viaje_roi.started,uber_travel_time_roi.started,uber_cost_roi.started,uber_stars_roi.started,uber_gender_roi.started,uber_record_roi.started,respuesta.started,trial.stopped,task.cam_inicio_viaje_roi.numLooks,task.cam_inicio_viaje_roi.timesOn,task.cam_inicio_viaje_roi.timesOff,task.cam_travel_time_roi.numLooks,task.cam_travel_time_roi.timesOn,task.cam_travel_time_roi.timesOff,task.cam_cost_roi.numLooks,task.cam_cost_roi.timesOn,task.cam_cost_roi.timesOff,task.cam_dens_roi.numLooks,task.cam_dens_roi.timesOn,task.cam_dens_roi.timesOff,task.cam_sec_roi.numLooks,task.cam_sec_roi.timesOn,task.cam_sec_roi.timesOff,task.metro_inicio_viaje_roi.numLooks,task.metro_inicio_viaje_roi.timesOn,task.metro_inicio_viaje_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_dens_roi.numLooks,task.metro_dens_roi.timesOn,task.metro_dens_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.uber_inicio_viaje_roi.numLooks,task.uber_inicio_viaje_roi.timesOn,task.uber_inicio_viaje_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_gender_roi.numLooks,task.uber_gender_roi.timesOn,task.uber_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,2.1734039000002667,None,0,0,0,0,0.016143200000442448,,0.01221080000141228,0.016143200000442448,0.011958800001593772,0.20291720000022906,0.2840455000005022,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,0.328277500000695,2.517095799999879,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,2.1734039000002667,None,,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.5253807999997662,None,0,1,1,1,2.5205062000004546,,2.5174818000014056,2.5205062000004546,0.00023180000061984174,2.7192339000012,2.7363063000011607,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,2.7634608000007574,3.304159000001164,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.5253807999997662,None,,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3719934999990073,None,0,2,2,2,3.3070299999999406,,3.304632800000036,3.3070299999999406,0.0002708000010898104,3.502947300001324,3.5106962000008934,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.538477400001284,3.917426699999851,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3719934999990073,None,3.538477400001284,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.32643559999996796,None,0,3,3,3,3.920643500001461,,3.9177859999999782,3.920643500001461,0.00021689999994123355,4.1191570999999385,4.1235754000008455,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.150575499999832,4.49218110000038,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.32643559999996796,None,,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.4485366000008071,None,0,4,4,4,4.494843899999978,,4.492574700001569,4.494843899999978,0.0002494000000297092,4.68648740000026,4.689692900001319,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,4.715233000000808,5.179266600000119,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.4485366000008071,None,4.715233000000808,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.38405889999921783,None,0,5,5,5,5.181765500001347,,5.179720400001315,5.181765500001347,0.000234499999351101,5.36961650000012,5.373089800001253,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.400847599999906,5.790914300001532,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.38405889999921783,None,5.400847599999906,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,7,Noche (19:00-23:00),5500,32,Masculino,4.0,Viaje Grabado,100,1030,18,Más pax. hombres,0,2,Alta,90,None,1,Media,6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.367280499998742,None,0,6,6,6,5.793938300001173,,5.79128160000073,5.793938300001173,0.0002251999994768994,5.986247800001365,5.989064700001109,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.014589500000511,6.386275200000455,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.367280499998742,None,6.014589500000511,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,8,Mañana (6:00-12:00),7800,24,Masculino,5.0,Sin camaras,300,690,18,None,2,3,Media,30,Camaras via publica,1,Media,7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.12829340000098455,None,0,7,7,7,6.389559799999915,,6.386638600000879,6.389559799999915,0.00022189999981492292,6.586294000000635,6.589214500001617,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.61508110000068,6.747030100001211,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.12829340000098455,None,6.61508110000068,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,9,Mañana (6:00-12:00),2300,32,Masculino,5.0,Sin camaras,300,1030,48,None,3,0,Baja,60,Presencia policial,1,Baja,8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.27980530000058934,None,0,8,8,8,6.750082600001406,,6.747396700000536,6.750082600001406,0.00022979999994277023,6.936486100001275,6.939293600000383,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,6.96444800000063,7.245677000000796,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.27980530000058934,None,6.96444800000063,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
1,10,Tarde (15:00-19:00),7800,13,Femenino,4.0,Sin camaras,100,870,18,Más pax. mujeres,1,0,Baja,30,Camaras via publica,0,Baja,9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.517185699998663,None,0,9,9,9,7.2484976000014285,,7.246041000000332,7.2484976000014285,0.00022089999947638717,7.4363696000000346,7.439289500000086,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.464477100000295,7.988209000001007,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.517185699998663,None,7.464477100000295,,,,501261,001,2025-11-10_23h22.52.559,v5-eye,,2025.1.1,60.059699341253946,2025-11-10 23h22.59.890204 -0300,
