block,pid,task,hora,uber_travel_time,uber_cost,uber_driver_gender,uber_record,uber_stars,uber_travels,metro_travel_time,metro_cost,metro_users,metro_camaras,metro_guardias,metro_tech,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,metro_camaras_roi.numLooks,metro_camaras_roi.timesOn,metro_camaras_roi.timesOff,metro_camaras_roi.dwellTime,metro_guardias_roi.numLooks,metro_guardias_roi.timesOn,metro_guardias_roi.timesOff,metro_tech_roi.numLooks,metro_tech_roi.timesOn,metro_tech_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_driver_gender_roi.numLooks,uber_driver_gender_roi.timesOn,uber_driver_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,uber_record_roi.dwellTime,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_travels_roi.numLooks,uber_travels_roi.timesOn,uber_travels_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_users_text.started,metro_camaras_text.started,metro_guardias_text.started,metro_tech_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_driver_gender_text.started,uber_record_text.started,uber_stars_text.started,uber_travels_text.started,hora_inicio_viaje_roi.started,metro_cost_roi.started,metro_travel_time_roi.started,metro_users_roi.started,metro_camaras_roi.started,metro_guardias_roi.started,metro_tech_roi.started,uber_cost_roi.started,uber_travel_time_roi.started,uber_driver_gender_roi.started,uber_record_roi.started,uber_stars_roi.started,uber_travels_roi.started,respuesta.started,mouse.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.metro_camaras_roi.numLooks,task.metro_camaras_roi.timesOn,task.metro_camaras_roi.timesOff,task.metro_camaras_roi.dwellTime,task.metro_guardias_roi.numLooks,task.metro_guardias_roi.timesOn,task.metro_guardias_roi.timesOff,task.metro_tech_roi.numLooks,task.metro_tech_roi.timesOn,task.metro_tech_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_driver_gender_roi.numLooks,task.uber_driver_gender_roi.timesOn,task.uber_driver_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.uber_record_roi.dwellTime,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_travels_roi.numLooks,task.uber_travels_roi.timesOn,task.uber_travels_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,task.mouse.x,task.mouse.y,task.mouse.leftButton,task.mouse.midButton,task.mouse.rightButton,task.mouse.time,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,2,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),0,0,0,0,,,0,,,0,,,0,,,1,[0.9694402000168338],[0.9889278000046033],0.0194875999877695,0,,,0,,,0,,,0,,,0,,,1,[0.00556200000573881],[0.9141753000149038],0.908613300009165,0,,,0,,,a,12.310315899987472,None,"[np.float64(-0.5221428571428571), np.float64(0.35214285714285715), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.345)]","[np.float64(-0.4992857142857143), np.float64(-0.2307142857142857), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.235)]","[1, 1, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 1]","[1.656234800000675, 1.9524876000068616, 2.086332599981688, 2.184270600002492, 2.2047432999825105, 2.3177418999839574, 2.427418100007344, 2.5632059999916237]",0,0,0,0,0.014934799983166158,,0.011444400006439537,0.014934799983166158,0.011080399999627843,0.21140050000394695,0.2744174999825191,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.30443889999878593,0.07408039999427274,12.626834199996665,0,,,0,,,0,,,0,,,1,[0.9694402000168338],[0.9889278000046033],0.0194875999877695,0,,,0,,,0,,,0,,,0,,,1,[0.00556200000573881],[0.9141753000149038],0.908613300009165,0,,,0,,,a,12.310315899987472,None,"[np.float64(-0.5221428571428571), np.float64(0.35214285714285715), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.3457142857142857), np.float64(0.345)]","[np.float64(-0.4992857142857143), np.float64(-0.2307142857142857), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.2342857142857143), np.float64(-0.235)]","[1, 1, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 1]","[1.656234800000675, 1.9524876000068616, 2.086332599981688, 2.184270600002492, 2.2047432999825105, 2.3177418999839574, 2.427418100007344, 2.5632059999916237]",,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),1,1,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,a,1.649007999978494,None,[np.float64(0.345)],[np.float64(-0.235)],[1],[0],[0],[1.0895885000063572],0,1,1,1,12.62972450000234,,12.627431799977785,12.62972450000234,0.00024200000916607678,12.827662199997576,12.837734799977625,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,12.863219199993182,0.01056229998357594,14.525105099979555,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,a,1.649007999978494,None,[np.float64(0.345)],[np.float64(-0.235)],[1],[0],[0],[1.0895885000063572],,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),2,2,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,1.1393651999824215,None,[],[],[],[],[],[],0,2,2,2,14.527867199998582,,14.525578000000678,14.527867199998582,0.00020650000078603625,14.710922500002198,14.730624099989654,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,14.758293899998534,0.005261699989205226,15.907594899996184,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,1.1393651999824215,None,[],[],[],[],[],[],14.758293899998534,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),3,3,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.2589879999868572,None,[],[],[],[],[],[],0,3,3,3,15.910322599986102,,15.908005499979481,15.910322599986102,0.00021639998885802925,16.09430080000311,16.098379400005797,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,16.120563499978743,0.013028699991991743,16.39851759999874,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.2589879999868572,None,[],[],[],[],[],[],16.120563499978743,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),4,4,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.23563350000767969,None,[],[],[],[],[],[],0,4,4,4,16.400973899988458,,16.398867699987022,16.400973899988458,0.00019660001271404326,16.594491700001527,16.59837609998067,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,16.620954999991227,-0.0002756000030785799,16.86134679999668,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.23563350000767969,None,[],[],[],[],[],[],16.620954999991227,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),5,5,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.23449580001761205,None,[],[],[],[],[],[],0,5,5,5,16.863750099990284,,16.861721900000703,16.863750099990284,0.00020519999088719487,17.060833499999717,17.063274399988586,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,17.08747489997768,0.0017692999681457877,17.32966249997844,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.23449580001761205,None,[],[],[],[],[],[],17.08747489997768,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),6,6,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.20178160001523793,None,[],[],[],[],[],[],0,6,6,6,17.33222620000015,,17.330042899993714,17.33222620000015,0.00021120000747032464,17.527690899994923,17.530294900003355,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,17.552312499989057,0.00047470000572502613,17.771861599991098,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.20178160001523793,None,[],[],[],[],[],[],17.552312499989057,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,2,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),7,7,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.1605979999876581,None,[],[],[],[],[],[],0,7,7,7,17.774323699995875,,17.772207600006368,17.774323699995875,0.0001965999836102128,17.960924499988323,17.96360319998348,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,17.985461000003852,0.01372399998945184,18.153668799990555,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.1605979999876581,None,[],[],[],[],[],[],17.985461000003852,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,4,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),8,8,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.20232370001031086,None,[],[],[],[],[],[],0,8,8,8,18.156069699994987,,18.154008899990004,18.156069699994987,0.0001902000221889466,18.344342700002016,18.34769199998118,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,18.37029779999284,0.0167420000070706,18.573820499994326,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,b,0.20232370001031086,None,[],[],[],[],[],[],18.37029779999284,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
1,4,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),9,9,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,a,0.1328100000100676,None,[],[],[],[],[],[],0,9,9,9,18.57646349997958,,18.574188500002492,18.57646349997958,0.00019039999460801482,18.76100959998439,18.763565500004916,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,18.785336899978574,0.011719800007995218,18.933326700003818,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,a,0.1328100000100676,None,[],[],[],[],[],[],18.785336899978574,,,,525053,001,2025-11-21_17h52.30.985,v6-eye,,2025.1.1,60.015147819879125,2025-11-21 17h52.37.585068 -0300,
