block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,cam_inicio_viaje_roi.numLooks,cam_inicio_viaje_roi.timesOn,cam_inicio_viaje_roi.timesOff,cam_travel_time_roi.numLooks,cam_travel_time_roi.timesOn,cam_travel_time_roi.timesOff,cam_cost_roi.numLooks,cam_cost_roi.timesOn,cam_cost_roi.timesOff,cam_dens_roi.numLooks,cam_dens_roi.timesOn,cam_dens_roi.timesOff,cam_sec_roi.numLooks,cam_sec_roi.timesOn,cam_sec_roi.timesOff,metro_inicio_viaje_roi.numLooks,metro_inicio_viaje_roi.timesOn,metro_inicio_viaje_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_dens_roi.numLooks,metro_dens_roi.timesOn,metro_dens_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,uber_inicio_viaje_roi.numLooks,uber_inicio_viaje_roi.timesOn,uber_inicio_viaje_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_gender_roi.numLooks,uber_gender_roi.timesOn,uber_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,text.stopped,wait.stopped,trial.started,fondo.started,cam_inicio_viaje.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_inicio_viaje_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_inicio_viaje_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,cam_inicio_viaje_roi.started,cam_travel_time_roi.started,cam_cost_roi.started,cam_dens_roi.started,cam_sec_roi.started,metro_inicio_viaje_roi.started,metro_travel_time_roi.started,metro_cost_roi.started,metro_dens_roi.started,metro_users_roi.started,uber_inicio_viaje_roi.started,uber_travel_time_roi.started,uber_cost_roi.started,uber_stars_roi.started,uber_gender_roi.started,uber_record_roi.started,respuesta.started,trial.stopped,task.cam_inicio_viaje_roi.numLooks,task.cam_inicio_viaje_roi.timesOn,task.cam_inicio_viaje_roi.timesOff,task.cam_travel_time_roi.numLooks,task.cam_travel_time_roi.timesOn,task.cam_travel_time_roi.timesOff,task.cam_cost_roi.numLooks,task.cam_cost_roi.timesOn,task.cam_cost_roi.timesOff,task.cam_dens_roi.numLooks,task.cam_dens_roi.timesOn,task.cam_dens_roi.timesOff,task.cam_sec_roi.numLooks,task.cam_sec_roi.timesOn,task.cam_sec_roi.timesOff,task.metro_inicio_viaje_roi.numLooks,task.metro_inicio_viaje_roi.timesOn,task.metro_inicio_viaje_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_dens_roi.numLooks,task.metro_dens_roi.timesOn,task.metro_dens_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.uber_inicio_viaje_roi.numLooks,task.uber_inicio_viaje_roi.timesOn,task.uber_inicio_viaje_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_gender_roi.numLooks,task.uber_gender_roi.timesOn,task.uber_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,20.23779869999271,None,0,0,0,0,0.01030159997753799,,0.007066699967253953,0.01030159997753799,0.006700099969748408,0.28529600001638755,0.19839889998547733,0.25297430000500754,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,0.28529600001638755,20.541636699985247,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,20.23779869999271,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.5860256999731064,None,0,1,1,1,20.543870499997865,,20.54197339998791,20.543870499997865,0.00020190002396702766,20.77907759998925,20.732458900019992,20.75268929998856,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,20.77907759998925,22.36795559996972,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.5860256999731064,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,2.0865470999851823,None,0,2,2,2,22.370575100008864,,22.368254099972546,22.370575100008864,0.00017850002041086555,22.59854809998069,22.564482200017665,22.5731585000176,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,22.59854809998069,24.68872689997079,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,2.0865470999851823,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.25404029997298494,None,0,3,3,3,24.69102919998113,,24.689046200015582,24.69102919998113,0.00019200000679120421,24.909435399982613,24.881506200006697,24.88635400001658,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,24.909435399982613,25.16609299997799,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.25404029997298494,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.2723709999700077,None,0,4,4,4,25.168270899972413,,25.166410200006794,25.168270899972413,0.00019130000146105886,25.394961200014222,25.365515700017568,25.371633899980225,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.394961200014222,25.67998129996704,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.2723709999700077,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.22357989998999983,None,0,5,5,5,25.68226249999134,,25.68030170002021,25.68226249999134,0.00019450002582743764,,25.881315600010566,25.88872819999233,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,25.9153806999675,26.149386500008404,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0.22357989998999983,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,7,Noche (19:00-23:00),5500,32,Masculino,4.0,Viaje Grabado,100,1030,18,Más pax. hombres,0,2,Alta,90,None,1,Media,6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,0.25582089996896684,None,0,6,6,6,26.15147949999664,,26.14970790001098,26.15147949999664,0.00019300001440569758,26.375597100006416,26.348451800004113,26.353031300008297,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.375597100006416,26.640313900017645,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,0.25582089996896684,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,8,Mañana (6:00-12:00),7800,24,Masculino,5.0,Sin camaras,300,690,18,None,2,3,Media,30,Camaras via publica,1,Media,7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,2.013549699971918,None,0,7,7,7,26.642464699980337,,26.640637999982573,26.642464699980337,0.00019489997066557407,26.85671069996897,26.830826899968088,26.833751099999063,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,26.85671069996897,28.879401299986057,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,2.013549699971918,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,9,Mañana (6:00-12:00),2300,32,Masculino,5.0,Sin camaras,300,1030,48,None,3,0,Baja,60,Presencia policial,1,Baja,8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,1.0691610000212677,None,0,8,8,8,28.882039199990686,,28.879946500004735,28.882039199990686,0.0003176999744027853,,29.081538299971726,29.08748819999164,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,29.1122448000242,30.195819800021127,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,1.0691610000212677,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
1,10,Tarde (15:00-19:00),7800,13,Femenino,4.0,Sin camaras,100,870,18,Más pax. mujeres,1,0,Baja,30,Camaras via publica,0,Baja,9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,1.02444149996154,None,0,9,9,9,30.19802740000887,,30.196152199991047,30.19802740000887,0.00019880000036209822,30.412601899995934,30.381461400014814,30.384633000008762,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,30.412601899995934,31.450548099994194,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,1.02444149996154,None,,,,775156,001,2025-11-10_19h21.38.047,v5-eye,,2025.1.1,59.64313128574977,2025-11-10 19h21.45.682445 -0300,
