thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light_text.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,1,0.28175609931349754,None,0,0,0,0,0.07353230006992817,,0.06886009965091944,0.07353230006992817,0.2027404997497797,0.20346680004149675,0.215183699503541,0.215183699503541,0.215183699503541,0.215183699503541,0.215183699503541,0.215183699503541,0.215183699503541,0.5053813001140952,1,0.28175609931349754,None,,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
1,0,1,2,0.5531518999487162,None,1,0,1,0,0.506823300383985,,0.5055523999035358,0.506823300383985,0.6902270996943116,0.6909405998885632,0.7026939000934362,0.7026939000934362,0.7026939000934362,0.7026939000934362,0.7026939000934362,0.7026939000934362,0.7026939000934362,1.2611258998513222,2,0.5531518999487162,None,0.7026939000934362,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
2,0,2,2,0.41893829964101315,None,2,0,2,0,1.2651119995862246,,1.2613102002069354,1.2651119995862246,1.4485226003453135,1.4492378998547792,1.4609441002830863,1.4609441002830863,1.4609441002830863,1.4609441002830863,1.4609441002830863,1.4609441002830863,1.4609441002830863,1.886119400151074,2,0.41893829964101315,None,1.4609441002830863,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
3,0,3,1,0.28189040068536997,None,3,0,3,0,1.8900926997885108,,1.8862840002402663,1.8900926997885108,2.0734879998490214,2.074201099574566,2.0859233997762203,2.0859233997762203,2.0859233997762203,2.0859233997762203,2.0859233997762203,2.0859233997762203,2.0859233997762203,2.369485699571669,1,0.28189040068536997,None,2.0859233997762203,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
4,0,4,2,0.2707178993150592,None,4,0,4,0,2.3733919002115726,,2.3696566997095942,2.3733919002115726,2.5568030001595616,2.5575259998440742,2.56921049952507,2.56921049952507,2.56921049952507,2.56921049952507,2.56921049952507,2.56921049952507,2.56921049952507,2.8860595002770424,2,0.2707178993150592,None,2.56921049952507,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
5,0,5,3,0.2199796000495553,None,5,0,5,0,2.8900354001671076,,2.886228400282562,2.8900354001671076,3.073434599675238,3.074150299653411,3.08585590030998,3.08585590030998,3.08585590030998,3.08585590030998,3.08585590030998,3.08585590030998,3.08585590030998,3.311002899892628,3,0.2199796000495553,None,3.08585590030998,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
6,0,6,2,0.0970593998208642,None,6,0,6,0,3.3150115003809333,,3.311163400299847,3.3150115003809333,3.4984079003334045,3.499122499488294,3.510831099934876,3.510831099934876,3.510831099934876,3.510831099934876,3.510831099934876,3.510831099934876,3.510831099934876,3.6109879994764924,2,0.0970593998208642,None,3.510831099934876,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
7,0,7,2,0.038065300323069096,None,7,0,7,0,3.6149981999769807,,3.611148700118065,3.6149981999769807,3.7983965994790196,3.799091599881649,3.81081369984895,3.81081369984895,3.81081369984895,3.81081369984895,3.81081369984895,3.81081369984895,3.81081369984895,3.852638400159776,2,0.038065300323069096,None,3.81081369984895,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
8,0,8,3,0.21136209927499294,None,8,0,8,0,3.8566480996087193,,3.8527953000739217,3.8566480996087193,4.040059600025415,4.040750799700618,4.052486900240183,4.052486900240183,4.052486900240183,4.052486900240183,4.052486900240183,4.052486900240183,4.052486900240183,4.269349900074303,3,0.21136209927499294,None,4.052486900240183,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
9,0,9,1,0.03577189985662699,None,9,0,9,0,4.273301900364459,,4.2695188000798225,4.273301900364459,4.456736800260842,4.457455200143158,4.469128999859095,4.469128999859095,4.469128999859095,4.469128999859095,4.469128999859095,4.469128999859095,4.469128999859095,4.510995999909937,1,0.03577189985662699,None,4.469128999859095,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
10,0,10,1,0.04104139935225248,None,10,0,10,0,4.514958799816668,,4.511162200011313,4.514958799816668,4.698361299932003,4.699073299765587,4.710779200308025,4.710779200308025,4.710779200308025,4.710779200308025,4.710779200308025,4.710779200308025,4.710779200308025,4.752636299468577,1,0.04104139935225248,None,4.710779200308025,894497,001,2025-11-10_01h27.29.966,v3,,2025.1.1,239.9191943766043,2025-11-10 01h27.31.901742 -0300,
11,0,11,,,,11,0,11,0,4.756595999933779,,4.752791199833155,4.756595999933779,4.940015399828553,4.940763799473643,4.952431099489331,4.952431099489331,4.952431099489331,4.952431099489331,4.952431099489331,4.952431099489331,4.952431099489331,5.010933299548924,,,,4.952431099489331,,,,,,,,,
