block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,cam_inicio_viaje_roi.numLooks,cam_inicio_viaje_roi.timesOn,cam_inicio_viaje_roi.timesOff,cam_travel_time_roi.numLooks,cam_travel_time_roi.timesOn,cam_travel_time_roi.timesOff,cam_cost_roi.numLooks,cam_cost_roi.timesOn,cam_cost_roi.timesOff,cam_dens_roi.numLooks,cam_dens_roi.timesOn,cam_dens_roi.timesOff,cam_sec_roi.numLooks,cam_sec_roi.timesOn,cam_sec_roi.timesOff,metro_inicio_viaje_roi.numLooks,metro_inicio_viaje_roi.timesOn,metro_inicio_viaje_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_dens_roi.numLooks,metro_dens_roi.timesOn,metro_dens_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,uber_inicio_viaje_roi.numLooks,uber_inicio_viaje_roi.timesOn,uber_inicio_viaje_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_gender_roi.numLooks,uber_gender_roi.timesOn,uber_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,cam_cost_text.started,cam_travel_time_text.started,cam_dens_text.started,cam_light_text.started,cam_sec_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_dens_text.started,metro_inf_text.started,metro_guards_text.started,metro_users_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_stars_text.started,uber_gender_text.started,uber_travels_text.started,uber_record_text.started,hora_inicio_viaje_roi.started,cam_inicio_viaje_roi.started,cam_travel_time_roi.started,cam_cost_roi.started,cam_dens_roi.started,cam_sec_roi.started,metro_inicio_viaje_roi.started,metro_travel_time_roi.started,metro_cost_roi.started,metro_dens_roi.started,metro_users_roi.started,uber_inicio_viaje_roi.started,uber_travel_time_roi.started,uber_cost_roi.started,uber_stars_roi.started,uber_gender_roi.started,uber_record_roi.started,respuesta.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.cam_inicio_viaje_roi.numLooks,task.cam_inicio_viaje_roi.timesOn,task.cam_inicio_viaje_roi.timesOff,task.cam_travel_time_roi.numLooks,task.cam_travel_time_roi.timesOn,task.cam_travel_time_roi.timesOff,task.cam_cost_roi.numLooks,task.cam_cost_roi.timesOn,task.cam_cost_roi.timesOff,task.cam_dens_roi.numLooks,task.cam_dens_roi.timesOn,task.cam_dens_roi.timesOff,task.cam_sec_roi.numLooks,task.cam_sec_roi.timesOn,task.cam_sec_roi.timesOff,task.metro_inicio_viaje_roi.numLooks,task.metro_inicio_viaje_roi.timesOn,task.metro_inicio_viaje_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_dens_roi.numLooks,task.metro_dens_roi.timesOn,task.metro_dens_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.uber_inicio_viaje_roi.numLooks,task.uber_inicio_viaje_roi.timesOn,task.uber_inicio_viaje_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_gender_roi.numLooks,task.uber_gender_roi.timesOn,task.uber_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,20.065957899998466,None,0,0,0,0,0.018079199999192497,,0.01503229999980249,0.018079199999192497,0.014784999999392312,0.2088231999987329,0.31222059999890917,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,0.35263440000017,20.42986959999871,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,20.065957899998466,None,,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.5013079999989714,None,0,1,1,1,20.43264900000031,,20.430314899998848,20.43264900000031,0.0002614999993966194,20.625407899999118,20.649650499999552,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,20.684433999998873,21.212610000000495,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.5013079999989714,None,20.684433999998873,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.3263067999996565,None,0,2,2,2,21.215793499999563,,21.213130099999034,21.215793499999563,0.0003132999991066754,21.4087815999992,21.41965589999927,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.456290699999954,21.800190699999803,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.3263067999996565,None,21.456290699999954,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3714224999985163,None,0,3,3,3,21.80265309999959,,21.800562399999762,21.80265309999959,0.0002244000006612623,21.992154600000504,21.99561679999897,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.027353999999832,22.418506300000445,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3714224999985163,None,22.027353999999832,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.22499649999917892,None,0,4,4,4,22.421330099999977,,22.418891299999814,22.421330099999977,0.00022710000121151097,22.60878369999955,22.613424199998917,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.644493099998726,22.886951399999816,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.22499649999917892,None,22.644493099998726,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.4801650999997946,None,0,5,5,5,22.88966900000014,,22.887339999999313,22.88966900000014,0.0002616000001580687,23.075484699998924,23.07920869999907,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.111719900000026,23.60432740000033,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.4801650999997946,None,23.111719900000026,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,7,Noche (19:00-23:00),5500,32,Masculino,4.0,Viaje Grabado,100,1030,18,Más pax. hombres,0,2,Alta,90,None,1,Media,6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.31146889999945415,None,0,6,6,6,23.607244200000423,,23.604829699999755,23.607244200000423,0.00035789999856206123,23.79204579999896,23.79562950000036,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,23.826679599998897,24.14231749999999,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.31146889999945415,None,23.826679599998897,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,8,Mañana (6:00-12:00),7800,24,Masculino,5.0,Sin camaras,300,690,18,None,2,3,Media,30,Camaras via publica,1,Media,7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.3085227000010491,None,0,7,7,7,24.145628899999792,,24.14282169999933,24.145628899999792,0.0002867999992304249,24.34204200000022,24.345649799999592,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.37629670000024,24.686894499998743,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,c,0.3085227000010491,None,24.37629670000024,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,9,Mañana (6:00-12:00),2300,32,Masculino,5.0,Sin camaras,300,1030,48,None,3,0,Baja,60,Presencia policial,1,Baja,8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3146244999988994,None,0,8,8,8,24.68984780000028,,24.687266299999465,24.68984780000028,0.00022119999994174577,24.87531449999915,24.87895690000005,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,24.911645399999543,25.252411199999187,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3146244999988994,None,24.911645399999543,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
1,10,Tarde (15:00-19:00),7800,13,Femenino,4.0,Sin camaras,100,870,18,Más pax. mujeres,1,0,Baja,30,Camaras via publica,0,Baja,9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.14380510000046343,None,0,9,9,9,25.25511269999879,,25.252796699998726,25.25511269999879,0.00022230000104173087,25.44206420000046,25.44575420000001,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.4779082999994,25.63562859999911,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.14380510000046343,None,25.4779082999994,,,,911997,001,2025-11-10_23h38.38.684,v5-eye,,2025.1.1,59.92821798048934,2025-11-10 23h38.46.490148 -0300,
