block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,cam_cost_text.started,cam_travel_time_text.started,cam_dens_text.started,cam_light_text.started,cam_sec_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_dens_text.started,metro_inf_text.started,metro_guards_text.started,metro_users_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_stars_text.started,uber_gender_text.started,uber_travels_text.started,uber_record_text.started,hora_inicio_viaje_roi.started,respuesta.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,c,17.2292669999988,None,0,0,0,0,0.019574599999032216,,0.013874200001737336,0.019574599999032216,0.013467799999489216,0.20220569999946747,0.27972700000100303,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,0.3137079000007361,17.553728400002,0,,,c,17.2292669999988,None,,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,a,1.0351021999995282,None,0,1,1,1,17.556701299999986,,17.553975700000592,17.556701299999986,0.00019719999909284525,17.75197399999888,17.768656299998838,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,17.79877950000082,18.851148000001558,0,,,a,1.0351021999995282,None,17.79877950000082,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,a,0.4204893999994965,None,0,2,2,2,18.853622900001938,,18.851312800001324,18.853622900001938,0.00014090000331634656,19.05172030000176,19.059514799999306,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.085050100002263,19.50745250000182,0,,,a,0.4204893999994965,None,19.085050100002263,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,a,0.4139495999988867,None,0,3,3,3,19.50973779999913,,19.507603900001413,19.50973779999913,0.0001306000012846198,19.702038300001732,19.70526400000017,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,19.72859669999889,20.1581995000015,0,,,a,0.4139495999988867,None,19.72859669999889,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,c,1.270610300001863,None,0,4,4,4,20.160430700001598,,20.158367399999406,20.160430700001598,0.0001449999981559813,20.35156420000203,20.355385099999694,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,20.379532599999948,21.656967499999155,0,,,c,1.270610300001863,None,20.379532599999948,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,0,,,a,0.4148120999998355,None,0,5,5,5,21.659347900000284,,21.65711999999985,21.659347900000284,0.00013219999891589396,21.851799899999605,21.855522000001656,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,21.881936900001165,22.31394050000017,0,,,a,0.4148120999998355,None,21.881936900001165,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,7,Noche (19:00-23:00),5500,32,Masculino,4.0,Viaje Grabado,100,1030,18,Más pax. hombres,0,2,Alta,90,None,1,Media,6,6,0,0,,,a,0.3094335999994655,None,0,6,6,6,22.31621549999909,,22.314093400000274,22.31621549999909,0.00013389999730861746,22.501611499999854,22.504928599999403,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.528574700001627,22.847155999999814,0,,,a,0.3094335999994655,None,22.528574700001627,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,8,Mañana (6:00-12:00),7800,24,Masculino,5.0,Sin camaras,300,690,18,None,2,3,Media,30,Camaras via publica,1,Media,7,7,0,0,,,a,0.283481300000858,None,0,7,7,7,22.849421599999914,,22.847309400000086,22.849421599999914,0.00013240000043879263,23.035331800001586,23.03905550000127,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.06618789999993,23.362538600002154,0,,,a,0.283481300000858,None,23.06618789999993,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,9,Mañana (6:00-12:00),2300,32,Masculino,5.0,Sin camaras,300,1030,48,None,3,0,Baja,60,Presencia policial,1,Baja,8,8,0,0,,,c,0.18699439999909373,None,0,8,8,8,23.36537849999877,,23.362696700001834,23.36537849999877,0.0001325999983237125,23.55175650000092,23.555048500002158,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.57896249999976,23.768620499999088,0,,,c,0.18699439999909373,None,23.57896249999976,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
1,10,Tarde (15:00-19:00),7800,13,Femenino,4.0,Sin camaras,100,870,18,Más pax. mujeres,1,0,Baja,30,Camaras via publica,0,Baja,9,9,0,0,,,c,2.8409897000019555,None,0,9,9,9,23.77121099999931,,23.768773200001306,23.77121099999931,0.0001322999996773433,23.968289399999776,23.971757100000104,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,23.99565520000033,26.852265100002114,0,,,c,2.8409897000019555,None,23.99565520000033,,,,asdasd,001,2025-11-11_00h37.32.884,v5-eye,,2025.1.1,60.02127153858503,2025-11-11 00h37.43.198546 -0300,
